city_id	city_name	state_code	country_code	lat	lon
2239076	N’dalatando	5	AO	-9.29782	14.91162
2239520	Mbanza Congo	16	AO	-6.26703	14.2401
2239862	Malanje	12	AO	-9.54015	16.34096
2240449	Luanda	20	AO	-8.83682	13.23432
2242001	Caxito	19	AO	-8.57848	13.66425
2243271	Cabinda	3	AO	-5.55	12.2
3346015	Sumbe	6	AO	-11.20605	13.84371
3347019	Namibe	13	AO	-15.19611	12.15222
3347353	Menongue	4	AO	-14.6585	17.69099
3347719	Luena	14	AO	-11.78333	19.91667
3347762	Lubango	9	AO	-14.91717	13.4925
3347853	Longonjo	8	AO	-12.90667	15.25333
3347939	Lobito	1	AO	-12.3644	13.53601
3348078	Cuito	2	AO	-12.38333	16.93333
3348313	Huambo	8	AO	-12.77611	15.73917
3350246	Catumbela	1	AO	-12.43002	13.54677
3350372	Catabola	2	AO	-12.15	17.28333
3351014	Camacupa	2	AO	-12.01667	17.48333
3351024	Caluquembe	9	AO	-13.78333	14.68333
3351500	Caála	8	AO	-12.8525	15.56056
3351663	Benguela	1	AO	-12.57626	13.40547
3427213	Zárate	1	AR	-34.09814	-59.02858
3427388	Villa Ocampo	21	AR	-28.48752	-59.35515
3427408	Villa Lugano	7	AR	-34.67907	-58.47263
3427428	Villaguay	8	AR	-31.8653	-59.02689
3427431	Villa Gesell	1	AR	-37.26394	-56.97304
3427761	Tigre	1	AR	-34.42603	-58.57962
3427833	Tandil	1	AR	-37.32167	-59.13316
3428068	San Vicente	14	AR	-26.61667	-54.13333
3428071	Santo Tomé	6	AR	-28.54939	-56.04077
3428359	Santa Elena	8	AR	-30.94768	-59.78696
3428577	San Pedro	14	AR	-26.62207	-54.10842
3428708	San Luis del Palmar	6	AR	-27.5079	-58.55454
3428759	San Lorenzo	6	AR	-28.13306	-58.76733
3428975	San Javier	21	AR	-30.57781	-59.9317
3428992	San Isidro	1	AR	-34.4721	-58.52708
3429403	Saladas	6	AR	-28.25384	-58.62591
3429576	Retiro	7	AR	-34.58333	-58.38333
3429577	Resistencia	3	AR	-27.46056	-58.98389
3429594	Reconquista	21	AR	-29.15	-59.65
3429652	Quilmes	1	AR	-34.72904	-58.26374
3429732	Puerto Rico	14	AR	-26.79598	-55.02402
3429777	Puerto Iguazú	14	AR	-25.59912	-54.57355
3429786	Puerto Esperanza	14	AR	-26.01517	-54.67306
3429790	Puerto Eldorado	14	AR	-26.40843	-54.69463
3429886	Posadas	14	AR	-27.36708	-55.89608
3429902	Pontevedra	1	AR	-34.74785	-58.70072
3429949	Pirané	9	AR	-25.73239	-59.10879
3430104	Paso de los Libres	6	AR	-29.71251	-57.08771
3430340	Oberá	14	AR	-27.48706	-55.11994
3430443	Necochea	1	AR	-38.5545	-58.73961
3430545	Morón	1	AR	-34.6509	-58.61956
3430598	Monte Caseros	6	AR	-30.25359	-57.63626
3430601	Montecarlo	14	AR	-26.5662	-54.757
3430708	Mercedes	1	AR	-34.65145	-59.43068
3430709	Mercedes	6	AR	-29.18416	-58.07519
3430863	Mar del Plata	1	AR	-38.00228	-57.55754
3430988	Luján	1	AR	-34.57028	-59.105
3432043	La Plata	1	AR	-34.92145	-57.95453
3432079	La Paz	8	AR	-30.74485	-59.64566
3433349	Jardín América	14	AR	-27.04346	-55.22698
3433658	Gualeguaychú	8	AR	-33.00937	-58.51722
3433663	Gualeguay	8	AR	-33.14156	-59.30966
3433715	Goya	6	AR	-29.14395	-59.2651
3433753	Gobernador Ingeniero Valentín Virasoro	6	AR	-28.05	-56.03333
3433803	General José de San Martín	3	AR	-26.53743	-59.34158
3433836	Garupá	14	AR	-27.48171	-55.82921
3433899	Formosa	9	AR	-26.17753	-58.17814
3433901	Fontana	3	AR	-27.41813	-59.02392
3433956	Federal	8	AR	-30.95465	-58.78326
3434095	Esquina	6	AR	-30.01444	-59.52719
3434291	El Soberbio	14	AR	-27.29847	-54.19877
3435038	Dolores	1	AR	-36.31321	-57.67918
3435103	Curuzú Cuatiá	6	AR	-29.79171	-58.0546
3435217	Corrientes	6	AR	-27.4806	-58.8341
3435261	Concordia	8	AR	-31.39296	-58.02089
3435264	Concepción del Uruguay	8	AR	-32.48249	-58.23722
3435356	Colegiales	7	AR	-34.57365	-58.44924
3435486	Chajarí	8	AR	-30.75048	-57.97962
3435810	Campana	1	AR	-34.16874	-58.95914
3435910	Buenos Aires	7	AR	-34.61315	-58.37723
3436124	Barranqueras	3	AR	-27.48132	-58.93925
3436199	Azul	1	AR	-36.77698	-59.85854
3436230	Avellaneda	21	AR	-29.11761	-59.65834
3436287	Aristóbulo del Valle	14	AR	-27.09625	-54.89626
3832132	Zapala	15	AR	-38.89916	-70.05442
3832260	Yerba Buena	24	AR	-26.81667	-65.31667
3832647	Villa Regina	16	AR	-39.1	-67.06667
3832653	Villa Paula de Sarmiento	18	AR	-31.4933	-68.53838
3832662	Villa Nueva	5	AR	-32.43293	-63.24763
3832694	Villa María	5	AR	-32.40751	-63.24016
3832756	Villa Dolores	5	AR	-31.94585	-65.18958
3832778	Villa Constitución	21	AR	-33.22778	-60.3297
3832791	Villa Carlos Paz	5	AR	-31.42414	-64.49778
3832811	Villa Ángela	3	AR	-27.57383	-60.71526
3832815	Villa Allende	5	AR	-31.29458	-64.29538
3832899	Viedma	16	AR	-40.81345	-62.99668
3832934	Victoria	8	AR	-32.61841	-60.15478
3833027	Vera	21	AR	-29.4593	-60.21261
3833062	Venado Tuerto	21	AR	-33.74556	-61.96885
3833112	Veinticinco de Mayo	1	AR	-35.4323	-60.17271
3833367	Ushuaia	23	AR	-54.8	-68.3
3833412	Unquillo	5	AR	-31.23073	-64.31615
